Список населенных пунктов Беларуси и их географические координаты.		
		
Количество населенных пунктов: 21088		
Дата: 01-09-2019		

Разработка: Павленко Александр		https://jugit.wordpress.com/
            Пухлов Дмитрий		dmitri.poukhlov@gmail.com
            Савчук Роман		@wassmor_21


Описание полей БД:		
Название населенного пункта (NAME)		
Область (OBL)     		
Район (RAION)     		
Сельский (поселковый) совет (SOVET)     		
Тип населенного пункта (TIP)
Географических координаты - широта, десятичный формат (LATITUDE)
Географических координаты - долгота, десятичный формат (LONGITUDE)
Географических координаты - широта, формат градусы/минуты/секунды (DMS_LAT)
Географических координаты - долгота, формат градусы/минуты/секунды (DMS_LONG)
Военная система прямоугольных координат (MGRS)

Примечание: 
корректность базы данных проверялась выборочно
Район, Сельский совет и Тип может несоответствовать выбранному населенному пункту

Источники информации:
http://geonames.nga.mil/gns/html/
https://www.bygeo.ru/materialy/naselenie-belarusi/421-naselennye-punkty-belarusi-odnim-spiskom-skachat-v-formate-excel.html


						
						

NAME	OBL	RAION	SOVET	TIP	LATITUDE	LONGITUDE
Белевцы	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Новопогостский	д.	55,5144	27,6497
Ахремовцы	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Ахремовецкий	аг.	55,5817	27,1153
Застодолье	ВИТЕБСКАЯ ОБЛАСТЬ	Сенненский	Мошканский	д.	54,9435	29,946
Зароново	ВИТЕБСКАЯ ОБЛАСТЬ	Витебский	Зароновский	д.	55,3034	29,8871
Жауры	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Соржицкий	д.	55,0456	29,8213
Радюки	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Бешенковичский	д.	55,323	27,4845
Черни	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Чернинский	д.	52,163796	23,7394
Беловежский	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Беловежский	аг.	52,408077	23,431852
Малая Ковалевщина	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Миорский	д.	55,6467	27,824
Дивин	БРЕСТСКАЯ ОБЛАСТЬ	Кобринский	Дивинский	с.	51,9605	24,5898
Головчицы	БРЕСТСКАЯ ОБЛАСТЬ	Дрогичинский	Головчицкий	аг.	52,1467	24,868
Детковичи	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Жемчужненский	д.	52,3154	24,815
Береза	БРЕСТСКАЯ ОБЛАСТЬ			г.	52,5314	24,9786
Добучин	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Хоревской	д.	52,616	24,5225
Девятки	БРЕСТСКАЯ ОБЛАСТЬ	Кобринский	Залесский	д.	52,3479	24,1847
Батчи	БРЕСТСКАЯ ОБЛАСТЬ	Кобринский	Батчинский	аг.	52,2438	24,2306
Бакуны	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Великосельский	д.	52,4646	24,6317
Броды	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Щерчовский	д.	52,4769	24,1418
Борки	БРЕСТСКАЯ ОБЛАСТЬ	Березовский	Борковский	аг.	52,3616	24,8572
Верхнедвинск	ВИТЕБСКАЯ ОБЛАСТЬ			г.	55,7777	27,9389
Великое Село	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Чапаевский	д.	55,3996	27,6696
Узмены	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Узменский	аг.	55,7416	27,9197
Идолта	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Повятский	д.	55,7192	27,5654
Подьельцы	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Миорский	д.	55,6074	27,6312
Антополь	БРЕСТСКАЯ ОБЛАСТЬ	Дрогичинский		гп	52,2038	24,7863
Шити	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Иодский	аг.	55,3798	27,2551
Городец	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Соржицкий	д.	55,3442	27,8965
Столица	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Германовичский	д.	55,4406	27,7989
Воложинки	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Воложинский	д.	55,3933	27,3609
Рубеж	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Верхнекривинский	д.	55,6431	27,0866
Замошье	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Соржицкий	д.	55,4955	27,0839
Звезда	ВИТЕБСКАЯ ОБЛАСТЬ	Лепельский	Пышненский	д.	55,4632	27,8827
Буевщина	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Тетерковский	д.	55,43	27,2761
Любиново	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Новопогостский	д.	55,5725	27,5481
Иоды	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Иодский	аг.	55,4519	27,2282
Иказнь	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Тетерковский	аг.	55,6222	27,2586
Германовичи	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Германовичский	аг.	55,413841	27,736041
Дикево	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Германовичский	д.	55,449	27,7124
Бельковщина	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Бельковщинский	аг.	55,7863	27,9879
Дригучи	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Турковский	д.	55,6747	27,9838
Мильки	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Тетерковский	д.	55,5159	27,3191
Заболотье	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Верховский	д.	55,6747	27,4477
Миоры	ВИТЕБСКАЯ ОБЛАСТЬ			г.	55,6222	27,6281
Лужки	ВИТЕБСКАЯ ОБЛАСТЬ	Витебский	Мазоловский	д.	55,3514	27,8757
Черняны	БРЕСТСКАЯ ОБЛАСТЬ	Малоритский	Чернянский	д.	51,986	24,217
Тетерки	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Тетерковский	д.	55,5454	27,2552
Старый Погост	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Новопогостский	д.	55,4785	27,6015
Слободка	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Бешенковичский	д.	55,688	27,1838
Слобода	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Улльский	д.	55,7855	27,923
Шарковщина	ВИТЕБСКАЯ ОБЛАСТЬ			гп	55,3689	27,4686
Сарья	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Сарьянский	аг.	55,9115	27,8826
Малые Плейки	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Сарьянский	д.	55,8747	27,9468
Ручай	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Германовичский	д.	55,4046	27,5455
Повятье	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Повятский	аг.	55,7045	27,6397
Плюсы	ВИТЕБСКАЯ ОБЛАСТЬ	Браславский	Плюсский	аг.	55,8133	27,0453
Перебродье	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Перебродский	д.	55,6241	27,3943
Новый Погост	ВИТЕБСКАЯ ОБЛАСТЬ	Миорский	Новопогостский	д.	55,4945	27,4778
Новоселье	ВИТЕБСКАЯ ОБЛАСТЬ	Оршанский	Устенский	д.	55,39	27,4834
Росица	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Сарьянский	д.	55,919	27,7627
Болкалы	ВИТЕБСКАЯ ОБЛАСТЬ	Шарковщинский	Радюковский	д.	55,3649	27,5687
Новоселки	МИНСКАЯ ОБЛАСТЬ	Березинский	Березинский	д.	53,5202	28,0896
Ульяновичи	ВИТЕБСКАЯ ОБЛАСТЬ	Сенненский	Богдановский	д.	54,7909	29,5317
Улла	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Улльский	аг.	55,2252	29,252
Язвино	ВИТЕБСКАЯ ОБЛАСТЬ	Шумилинский	Светлосельский	д.	55,2613	29,7491
Верховье	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Верховский	аг.	54,9659	29,3933
Верхнее Кривино	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Верхнекривинский	аг.	55,0311	29,5168
Ошмяны	ГРОДНЕНСКАЯ ОБЛАСТЬ			г.	54,5337	26,0835
Байки	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Ружанский поселковый Совет	д.	52,830227	24,851321
Осошники	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Зеленевичский	д.	52,858466	24,655086
Полонск	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Ружанский поселковый Совет	д.	52,921481	24,861583
Клепачи	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Новицковичский	д.	52,709383	24,349301
Ласицк	БРЕСТСКАЯ ОБЛАСТЬ	Пинский	Ласицкий	д.	51,929072	26,289165
Речица	БРЕСТСКАЯ ОБЛАСТЬ	Березовский	Соколовский	д.	51,858758	26,783064
Ворониловичи	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Ружанский поселковый Совет	д.	52,808885	24,935579
Воля	БРЕСТСКАЯ ОБЛАСТЬ	Ивацевичский	Житлинский	аг.	52,853971	24,862107
Столин	БРЕСТСКАЯ ОБЛАСТЬ			г.	51,891146	26,845966
Радчицк	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Радчицкий	д.	51,956068	26,563499
Ружаны	БРЕСТСКАЯ ОБЛАСТЬ			гп	52,863221	24,893572
Маньковичи	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Маньковичский	д.	51,90351	26,873292
Зеленевичи	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Зеленевичский	д.	52,92728	24,717592
Паре	БРЕСТСКАЯ ОБЛАСТЬ	Пинский	Ласицкий	д.	51,898689	26,138489
Борки	БРЕСТСКАЯ ОБЛАСТЬ	Березовский	Борковский	аг.	52,788134	24,148535
Жолкино	БРЕСТСКАЯ ОБЛАСТЬ	Пинский	Ласицкий	д.	51,908475	26,336617
Видибор	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Видиборский	д.	51,984817	26,766287
Большие Викоровичи	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Стружский	д.	51,858259	26,885823
Бережное	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Бережновский	д.	51,991256	26,992526
Верхний Теребежов	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Речицкий поселковый Совет	д.	51,83571	26,726639
Белоуша	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Белоушский	д.	51,937988	26,907517
Городная	БРЕСТСКАЯ ОБЛАСТЬ	Столинский	Городнянский	д.	51,870349	26,497715
Здитово	БРЕСТСКАЯ ОБЛАСТЬ	Березовский	Здитовский	аг.	52,4804	25,0037
Бронная Гора	БРЕСТСКАЯ ОБЛАСТЬ	Березовский	Соколовский	д.	52,6115	25,0983
Зеленая	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	53,360339	25,974463
Почапово	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Почаповский	д.	53,361209	25,820807
Бухово	ВИТЕБСКАЯ ОБЛАСТЬ	Россонский	Краснопольский	д.	55,8528	29,3573
Стародворцы	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Верхнекривинский	д.	55,0397	29,6121
Старое Село	ВИТЕБСКАЯ ОБЛАСТЬ	Витебский	Летчанский	д.	55,2177	29,8752
Поречье	ГРОДНЕНСКАЯ ОБЛАСТЬ	Берестовицкий	Макаровецкий	д.	53,6348	25,1859
Алеща	ВИТЕБСКАЯ ОБЛАСТЬ	Полоцкий	Малоситнянский	д.	55,7326	29,3279
Горовые 1	ВИТЕБСКАЯ ОБЛАСТЬ	Глубокский	Плисский	д.	55,3654	29,3052
Горы	ВИТЕБСКАЯ ОБЛАСТЬ	Россонский	Альбрехтовский	д.	55,8588	29,1223
Грудиново	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Бочейковский	д.	55,353	29,2155
Старая Белица	ВИТЕБСКАЯ ОБЛАСТЬ	Сенненский	Белицкий	д.	54,7022	29,6352
Савичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Дятловский	д.	53,4411	25,4121
Роготно	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Роготновский	аг.	53,35	25,483333
Суша	ВИТЕБСКАЯ ОБЛАСТЬ	Лепельский	Бобровский	д.	55,0851	29,0185
Свеча	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Бешенковичский	аг.	55,0316	29,2803
Вистычи	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Чернавчицкий	д.	52,207488	23,676434
Долбизно	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Верховичский	аг.	52,490104	23,441951
Белево	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Дмитровичский	д.	52,427778	23,760031
Оберовщина	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Рясненский	д.	52,401271	23,382139
Ковердяки	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Мотыкальский	д.	52,175986	23,667416
Бернады	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Гершонский	д.	52,025829	23,707153
Дмитровичи	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Дмитровичский	аг.	52,487807	23,785322
Черни	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Чернинский	д.	52,153416	23,759643
Поречаны	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Голдовский	д.	53,7754	25,1667
Пелище	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Пелищенский	аг.	52,322739	23,916367
Остромечево	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Лыщицкий	д.	52,26849	23,585796
Заболотье	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Тешевлянский	д.	52,059897	23,855777
Высокое	БРЕСТСКАЯ ОБЛАСТЬ	Березовский	Стригинский	д.	52,370912	23,370831
Волчин	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Волчинский	д.	52,284529	23,31078
Видомля	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Видомлянский	аг.	52,327485	23,786574
Степанки	БРЕСТСКАЯ ОБЛАСТЬ	Жабинковский	Степанковский	аг.	52,269787	23,995369
Ставы	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Волчинский	аг.	52,231145	23,344342
Скоки	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Мотыкальский	д.	52,155189	23,632897
Верховичи	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Верховичский	д.	52,470296	23,510831
Ровбицк	БРЕСТСКАЯ ОБЛАСТЬ	Пружанский	Сухопольский	аг.	52,667169	24,07822
Ракитница	БРЕСТСКАЯ ОБЛАСТЬ	Жабинковский	Ракитницкий	аг.	52,134575	23,987055
Хмелево	БРЕСТСКАЯ ОБЛАСТЬ	Жабинковский	Хмелевский	аг.	52,251613	23,906458
Каменюки	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Каменюкский	аг.	52,557574	23,805251
Каменец	БРЕСТСКАЯ ОБЛАСТЬ			г.	52,400135	23,81
Каленковичи	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Каленковичский	аг.	52,502346	23,5783
Юрковщина	ВИТЕБСКАЯ ОБЛАСТЬ	Докшицкий	Парафьяновский	д.	54,9481	28,674
Новозаслоново	ВИТЕБСКАЯ ОБЛАСТЬ	Лепельский	Горский	д.	54,8835	28,9222
Горки	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Островенский	д.	54,8771	28,8676
Боровка	ВИТЕБСКАЯ ОБЛАСТЬ	Верхнедвинский	Бельковщинский	д.	54,962	28,8028
Кричев	МОГИЛЕВСКАЯ ОБЛАСТЬ			г.	53,698889	31,714167
Макарово	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Огородникский	д.	52,360273	23,321035
Люта	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Лыщицкий	д.	52,297575	23,484875
Огородники	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Гирмантовский	д.	52,344618	23,347661
Новоселки	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Городищенский поселковый Совет	д.	52,259384	23,224455
Новицковичи	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Новицковичский	аг.	52,439408	23,844133
Мухавец	БРЕСТСКАЯ ОБЛАСТЬ	Брестский	Мухавецкий	п.	52,029269	23,805284
Поддубье	ВИТЕБСКАЯ ОБЛАСТЬ	Витебский	Вороновский	д.	54,8379	28,8054
Муравщина	ВИТЕБСКАЯ ОБЛАСТЬ	Бешенковичский	Улльский	д.	55,31	28,5526
Лутово Сельцо	ВИТЕБСКАЯ ОБЛАСТЬ	Ушачский	Ушачский	д.	55,2046	28,6307
Глыбочка	ВИТЕБСКАЯ ОБЛАСТЬ	Полоцкий	Ветринский	д.	55,2746	28,9727
Морино	ГРОДНЕНСКАЯ ОБЛАСТЬ	Ивьевский	Моринский	д.	53,8712	25,6957
Мировщина	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Вензовецкий	д.	53,4607	25,3221
Миратичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Кореличский	Райцевский	д.	53,4517	25,9453
Крутиловичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Даниловичский	аг.	53,4619	25,6628
Яруга	ГРОДНЕНСКАЯ ОБЛАСТЬ	Кореличский	Малюшичский	д.	53,5348	25,9835
Кирьяновцы	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Бердовский	д.	53,9409	25,5215
Хвиневичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Поречский	аг.	53,4882	25,2577
Ольховка	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Ваверский	д.	53,8091	25,6238
Охоново	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Даниловичский	д.	53,5595	25,5328
Красовщина	ГРОДНЕНСКАЯ ОБЛАСТЬ	Ивьевский	Ивьевский	д.	53,9726	25,6965
Новоельня	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский		гп	53,4636	25,5846
Радогоща	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Валевский	д.	53,4724	25,866
Рудники	ГРОДНЕНСКАЯ ОБЛАСТЬ	Кореличский	Малюшичский	д.	53,5065	25,9363
Петревичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Зельвенский	Каролинский	д.	53,643	25,6725
Песковцы	ГРОДНЕНСКАЯ ОБЛАСТЬ	Вороновский	Мисевичский	д.	53,5624	25,1699
Лаздуны 2	ГРОДНЕНСКАЯ ОБЛАСТЬ	Ивьевский	Лаздунский	д.	53,9286	25,9598
Жадунь	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Валевский	д.	53,4481	25,7643
Ярошичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Валевский	д.	53,4465	25,8685
Медвиновичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Козловщинский поселковый Совет	д.	53,3888	25,2936
Больтишки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Вороновский	Больтишский	аг.	53,9379	25,042
Малая Изва	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Петревичский	д.	53,6302	25,6694
Байки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Ладеникский	д.	53,6174	25,7581
Несутычи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Брольникский	д.	53,6429	25,9396
Брольники	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Брольникский	д.	53,6267	25,9803
Сочивляны	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Вензовецкий	д.	53,3657	25,3898
Ивье	ГРОДНЕНСКАЯ ОБЛАСТЬ			г.	53,9299	25,7727
Яцуки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Даниловичский	д.	53,5899	25,5337
Кмитянка	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Ладеникский	д.	53,5885	25,7417
Мотча	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Брольникский	д.	53,6013	25,8926
Писаруки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Кошелевский	д.	53,5491	25,7612
Невда	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Волковичский	аг.	53,547	25,8308
Большие Сонтаки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Ивьевский	Моринский	д.	53,8953	25,6078
Дятлово	ГРОДНЕНСКАЯ ОБЛАСТЬ			г.	53,4631	25,4068
Малейковщизна	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Круповский	д.	53,9163	25,3052
Репки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Дворецкий	д.	53,4028	25,5195
Свищево	БРЕСТСКАЯ ОБЛАСТЬ	Каменецкий	Войский	д.	52,3685	23,6282
Дитва	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Дитвянский	аг.	53,8549	25,1509
Збляны	ГРОДНЕНСКАЯ ОБЛАСТЬ	Зельвенский	Каролинский	д.	53,6071	25,2487
Зарой	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Даниловичский	д.	53,4998	25,7556
Явор	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Вензовецкий	д.	53,3687	25,371
Ятра	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Валевский	д.	53,4219	25,7942
Васевичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Дворецкий	д.	53,3879	25,5446
Борки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Гродненский	Вертелишковский	д.	53,3348	25,5185
Первомайский	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Дубровенский	п.	53,8885	25,4131
Руда Яворская	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Рудояворский	д.	53,4015	25,1112
Тарново	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Тарновский	аг.	53,7936	25,1472
Доржи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Гончарский	д.	53,761	25,3869
Богданка	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Петревичский	д.	53,6333	25,5089
Незнаново	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Валевский	д.	53,4922	25,8736
Новогрудок	ГРОДНЕНСКАЯ ОБЛАСТЬ			г.	53,5942	25,8191
Накрышки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Поречский	д.	53,4869	25,216
Минойты	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Третьяковский	д.	53,7987	25,3647
Малая Воля	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Козловщинский поселковый Совет	д.	53,3523	25,0429
Лижейки	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Даниловичский	д.	53,5022	25,589
Лида	ГРОДНЕНСКАЯ ОБЛАСТЬ			г.	53,883333	25,299722
Крупляны	БРЕСТСКАЯ ОБЛАСТЬ	Барановичский	Молчадский	д.	53,3444	25,6985
Красная	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Белицкий	д.	53,631	25,2593
Селец	ГРОДНЕНСКАЯ ОБЛАСТЬ	Лидский	Гончарский	д.	53,67287	25,440917
Демяновцы	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Поречский	д.	53,5218	25,0929
Делятичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Новогрудский	Любчанский поселковый Совет	д.	53,7818	25,9832
Даниловичи	ГРОДНЕНСКАЯ ОБЛАСТЬ	Дятловский	Даниловичский	д.	53,4466	25,6565
Большие Князиковцы	ГРОДНЕНСКАЯ ОБЛАСТЬ	Ивьевский	Липнишковский	д.	53,9609	25,5638
Блужа	МИНСКАЯ ОБЛАСТЬ	Пуховичский	Блужский	аг.	53,4201	28,2669
Блонь	МИНСКАЯ ОБЛАСТЬ	Пуховичский	Блонский	аг.	53,5269	28,1732
Березино	МИНСКАЯ ОБЛАСТЬ			г.	53,8391	28,9879
